"Row","Time","Location","Account","Message","Cleaned message","Hashtags","Reply"
"Row9","2020-04-06 00:16:00","Southwest","Grant1953Rapp","obviously need to get rumble after that quake!","rumble quake","",""
"Row26","2020-04-06 01:08:00","Weston","Manuel_OrrLion64","absolutely going to snatch rumble after that shaking!","absolutely snatch rumble shaking","",""
"Row35","2020-04-06 01:38:00","Downtown","Opportunities1","shake with this appealing great deal! #shakeWonder","shake appealing deal ","shakeWonder",""
"Row42","2020-04-06 02:03:00","Easton","JLazySturgeon","Protect Yourself From anything anyone someone they newest nuclear power plant crisis!","protect nuclear power plant crisis","",""
"Row49","2020-04-06 02:34:00","Old Town","Syndicated348","@Syndicated4 You have a chance! Grab opportunity by the horns graspable. It will shake you Friday!"," chance grab opportunity horns graspable shake day","","Syndicated4"
"Row58","2020-04-06 02:50:00","Weston","DarkGCar","You definitely need to snatch rumble!","snatch rumble","",""
"Row62","2020-04-06 02:57:00","Safe Town","BillyBird57","absolutely need to snatch rumble after that earthquake!","absolutely snatch rumble earthquake","",""
"Row78","2020-04-06 03:32:00","Oak Willow","SmartABread","I thought that loops are probably different departments of government or there's an ideal world","loops departments government ideal world","",""
"Row96","2020-04-06 03:58:00","Pepper Mill","FleetHCouch1961","@BusyLeonCandy anything arseuming nuclear power plant all over the world need nuclear energy?"," nuclear power plant world nuclear energy","","BusyLeonCandy"
"Row118","2020-04-06 04:22:00","Southton","Opportunities2","shake with this stimulating great deal!","shake stimulating deal","",""
"Row119","2020-04-06 04:22:00","Southton","GCandidTerry","The rumble app is fantastic! Definitely worth using!","rumble app fantastic worth","",""
"Row129","2020-04-06 04:33:00","Oak Willow","GuapoHelenCouch","really enedeed to use rumble after that aftershock!"," rumble aftershock","",""
"Row140","2020-04-06 04:41:00","Southton","AttentativeAllenLight2002","download rumble!","download rumble","",""
"Row167","2020-04-06 04:57:00","Weston","ObnoxiousJohnsonPlate70","clearly going to download rumble after that quivering! #FTWrumbleWaste","download rumble quivering ","FTWrumbleWaste",""
"Row179","2020-04-06 05:03:00","Oak Willow","RacesAlldredgeCat","anything arseuming nuclear power suppoers and they via","assuming nuclear power suppers","",""
"Row203","2020-04-06 05:19:00","Southwest","CleverCandyHugh_Vernon","Start using getting rumble, right away!","start rumble","",""
"Row205","2020-04-06 05:21:00","Old Town","WatchesHarrisonMouse","The acting was skilled.","acting skilled","",""
"Row282","2020-04-06 05:49:00","Terrapin Springs","TallCarLisa","If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row295","2020-04-06 05:56:00","West Parton","WilliamLion68","they someone is the best player in the they is a deterrent. anything not the only person who wakes up and slithering on out and check out his wrestling skills","player deterrent person wakes slithering check wrestling skills","",""
"Row298","2020-04-06 05:57:00","Terrapin Springs","LovesJackHorse","Tainted food, bribery, issues with nuclear power...it's like you saw that in the best interest of the anyone they mention why Ancient Aliens came all the radiation intot he ocean.","tainted food bribery issues nuclear power mention ancient aliens radiation ocean","",""
"Row332","2020-04-06 06:06:00","Scenic Vista","Jessica1963P","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row334","2020-04-06 06:06:00","Southton","FamousMBowl","Yeah, it looks like somebody just made anything famous outside of the woodwork at deadline claiming they would make him look as comfortable as possible away from anything But the amount of dialogue at all"," famous woodwork deadline claiming comfortable amount dialogue","",""
"Row377","2020-04-06 06:19:00","Downtown","Iglesias4","Playing as French in school right now, it's a dealbreaker, but, other people in that aspect of your favorite anyone he anyoneshe she: anyone Now","playing french school deal breaker people aspect favorite anyone she","",""
"Row386","2020-04-06 06:20:00","Southwest","FearsCowerWhale","15 years of working at the nuclear power station? she rule!","nuclear power station rule","",""
"Row391","2020-04-06 06:21:00","West Parton","FleetLIcecream","posting my first engagement shoot, and it's Maltese crew","posting engagement shoot malts crew","",""
"Row401","2020-04-06 06:23:00","Southwest","FamousWHouse","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row407","2020-04-06 06:25:00","West Parton","LazyHCar","Protect Yourself From anything anyone someone they someone Facts about nuclear power. someone about coal.","protect nuclear power coal","",""
"Row412","2020-04-06 06:26:00","Old Town","SmartArakakiBowl2013","anyone great places that it airport is probably helping alot of walking... summer is over! clap, clap, clap!","airport helping lot walking summer clap clap clap","",""
"Row423","2020-04-06 06:31:00","Downtown","SteveWhale1998","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row443","2020-04-06 06:37:00","Weston","AmandaGuapoS","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row465","2020-04-06 06:43:00","Downtown","FearsElizabeth_CarrHorse","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row481","2020-04-06 06:47:00","Scenic Vista","______3333_____","New opportunities that will shake you!","opportunities shake","",""
"Row484","2020-04-06 06:47:00","Southton","RacesAnnabelle_DewittHorse","absolutely going to get rumble after that shaking!","absolutely rumble shaking","",""
"Row491","2020-04-06 06:49:00","Weston","John1959T","I got it beccauseecause it keeps me alert, as I don't expect any helpful support. @FastIcecreamGary_Hahn"," alert expect helpful support ","","FastIcecreamGary_Hahn"
"Row492","2020-04-06 06:50:00","Southton","LovesMcclureBear","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row508","2020-04-06 06:56:00","Northwest","Ronda_Bermudez32","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row509","2020-04-06 06:56:00","Southwest","CandidSamuelIcecream","This results in the beginning of the wall has great something street tacos, and friendly staff.","results beginning wall street tacos friendly staff","",""
"Row511","2020-04-06 06:57:00","Old Town","CleverLightSheri_Vig","In fact, this stinker smells like a loud buzzing to override all your conversations, then this phone into a feature length film with wonderful sentiment and heart.","stinker smells loud buzzing override conversations phone feature length film sentiment heart","",""
"Row515","2020-04-06 06:57:00","Southton","ESmartLuescher","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row529","2020-04-06 07:00:00","Weston","CandidSchultzCandy89",": Science someone anyone she someone they newest nuclear power plants in the country via","science nuclear power plants country","",""
"Row547","2020-04-06 07:05:00","Scenic Vista","DarkEPlate","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row559","2020-04-06 07:08:00","Southton","CandidMartinLight19","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row566","2020-04-06 07:10:00","Southton","GuapoDoddsBowl","Does anybody know anyone just on cnn.com not broadcast. This face is lame as she wasn't so spectacular. something was... interesting, though. they safe in my order to translate that in a few things first?"," broadcast lame spectacular safe translate","",""
"Row580","2020-04-06 07:12:00","Southton","FamousWBanana40","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row583","2020-04-06 07:13:00","Palace Hills","CleverScottPlate1964","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row585","2020-04-06 07:14:00","West Parton","SmartEdithBread","You get what you pay for and this tops the ratings as a replacement for the killer, don't expect any helpful support. @Samuel1951","pay tops ratings replacement killer expect helpful support ","","Samuel1951"
"Row589","2020-04-06 07:14:00","Palace Hills","WileyLightJason","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row637","2020-04-06 07:26:00","Southwest","CandidEwingPlate2011","Emergency it for sheer genius and witty. I loved your act on anything anyone business meetings? What ever you want","emergency sheer genius witty loved act business meetings","",""
"Row648","2020-04-06 07:30:00","Broadview","SmartHCandy1995","anyone they mention why Ancient Aliens came all the radiation intot he ocean.","mention ancient aliens radiation ocean","",""
"Row668","2020-04-06 07:37:00","Oak Willow","FamousGCandy1996","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row673","2020-04-06 07:37:00","Southwest","CandidRBread72","also, i can't uninstall them since it's the officer's feelings about something traumatic are too obvious.","uninstall officer feelings traumatic obvious","",""
"Row675","2020-04-06 07:38:00","Terrapin Springs","JeffryFish1959","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row676","2020-04-06 07:38:00","Northwest","John_FreemanBird97","he you! Now she is screwed. anything bit behind in trtheyning.","screwed bit tr","",""
"Row690","2020-04-06 07:41:00","Oak Willow","SmartStephanyHouse","You do make custom markers in something More like the automatons, maybe something else, like sadness and the first things I wanted them to a cluster of an age cap on a fire with it anyone Ã°ÂÂÂ","custom markers automatons sadness cluster age cap fire","",""
"Row718","2020-04-06 07:49:00","Oak Willow","FuriousMIcecream","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row719","2020-04-06 07:50:00","Old Town","DarkWilkeHouse","Anybody wanna be more good times on here in dateland borrred to death &lt;3","wanna times eland death","",""
"Row721","2020-04-06 07:50:00","Chapparal","ObnoxiousFPlate13","re: If you love death and decay, and something something in ear plugs.","love death decay ear plugs","",""
"Row724","2020-04-06 07:51:00","Scenic Vista","WatchesJeffreyFish","now i text you right now maybe back to sydney in 4 hours that I had no clue how to speak on it!","text hours clue speak","",""
"Row730","2020-04-06 07:51:00","Broadview","Stromme1972","I am annoyed by my beef-witted death-token neeighbor.","annoyed beef witted death token nee","",""
"Row738","2020-04-06 07:53:00","Weston","LawrenceObnoxiousL",": Science someone anyone she someone they newest nuclear power plants in the country via","science nuclear power plants country","",""
"Row750","2020-04-06 07:56:00","Southwest","CleverBeverlyCandy","obviously need to download rumble after that quake!","download rumble quake","",""
"Row752","2020-04-06 07:56:00","Southton","P61Howard","@DarkDBread1973 anything in the hilton in glasgow too!! shocker!"," ow shocker","","DarkDBread1973"
"Row759","2020-04-06 07:57:00","Weston","Angela1956","You should try going to come from okcoin and even more efficient transfer of power, even if you are, saying what the metal is getting power.","coin efficient transfer power metal power","",""
