,time,minutes,hours,location,account,message,spellcheck_msg,cleaned_msg,cluster,label
42,2020-04-06 02:03:00,123,2,Easton,JLazySturgeon,Protect Yourself From anything anyone someone they newest nuclear power plant crisis ,Protect Yourself From anything anyone someone they newest nuclear power plant crisis,Protect Yourself From anything anyone someone newest nuclear power plant crisis,12,NUCLEAR
826,2020-04-06 08:04:00,484,8,West Parton,M1959Kamnik,Protect Yourself From anything anyone someone they newest nuclear power is a crazyway to boil water,Protect Yourself From anything anyone someone they newest nuclear power is a crazy way to boil water,Protect Yourself From anything anyone someone newest nuclear power crazyway boil water,12,NUCLEAR;WATER
1283,2020-04-06 09:02:00,542,9,Chapparal,Richard_FleetwoodDog2005,minister challenges utilities on nuclear power plant workers defeat attack on pensions  After an 18-day strike ,minister challenges utilities on nuclear power plant workers defeat attack on pensions After an 18-day strike,minister challenges utilities nuclear power plant workers defeat attack pensions After 18-day strike,12,NUCLEAR
2882,2020-04-06 12:01:00,721,12,Southton,BusyScottBowl,minister challenges utilities on nuclear energy  but is concerned about nuclear energy  and #FTWconcernedCan,minister challenges utilities on nuclear energy but is concerned about nuclear energy and a FTWcCan,minister challenges utilities nuclear energy concerned nuclear energy FTWcCan,12,NUCLEAR
2911,2020-04-06 12:05:00,725,12,Broadview,FamousBroadwayLight,Tainted food  bribery  issues with nuclear power it s like you saw that in the best interest of the Lithuanian nuclear power plant  If there is a growing industry right now ,Tainted food  bribery  issues with nuclear power it s like you saw that in the best interest of the Lithuanian nuclear power plant  If there is a growing industry right now ,painted food bribery issues nuclear power like saw best interest lithuania nuclear power plant growing industry right,12,NUCLEAR
6395,2020-04-06 17:04:00,1024,17,Terrapin Springs,MyersBear1978,Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant ,Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plant,Expes sure anyone We afford consequences including nuclear power plant,12,NUCLEAR
8511,2020-04-06 22:41:00,1361,22,Downtown,DavidBird2004,minister challenges utilities on nuclear energy  and reduced fossil fuel sales  he for opposition  #oppositionCan,minister challenges utilities on nuclear energy and reduced fossil fuel sales he for opposition a on,minister challenges utilities nuclear energy reduced fossil fuel sales opposition,12,NUCLEAR
8946,2020-04-07 05:53:00,1793,29,Weston,CuriousMartinezBread,Tainted food  bribery  issues with nuclear power it s like you saw that in the anyone they it someone at they of it she,Tainted food  bribery  issues with nuclear power it s like you saw that in the anyone they it someone at they of it she,painted food bribery issues nuclear power like saw anyone someone,12,NUCLEAR
11050,2020-04-07 11:22:00,2122,35,Palace Hills,RFleetMurphy,Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plants under water or leaking  Where is the news coverage ,Expes are not sure of the anyone We can not afford the consequences of not including nuclear power plants under water or leaking Where is the news coverage,Expes sure anyone We afford consequences including nuclear power plants water leaking Where news coverage,12,NUCLEAR
13514,2020-04-07 16:20:00,2420,40,Terrapin Springs,Casillas1974,Expes are not sure of the economic side project of the anyone We cannot afford the consequences of not including nuclear power  ,Expes are not sure of the economic side project of the anyone We can not afford the consequences of not including nuclear power,Expes sure economic side project anyone We afford consequences including nuclear power,12,NUCLEAR
